DATE|TIME|RPM|VEL
01/01/2016|10:07:01|274.25|0
01/01/2016|10:07:02|1187.5|0
01/01/2016|10:07:03|1810.75|0
01/01/2016|10:07:04|749.5|0
01/01/2016|10:07:05|1456.0|0
01/01/2016|10:07:06|1395.0|0
01/01/2016|10:07:07|1273.0|0
01/01/2016|10:07:08|1316.5|0
01/01/2016|10:07:09|1319.75|0
01/01/2016|10:07:10|1311.5|0
01/01/2016|10:07:11|1301.75|0
01/01/2016|10:07:12|1280.0|0
01/01/2016|10:07:13|1275.25|0
01/01/2016|10:07:14|1270.5|0
01/01/2016|10:07:15|1278.0|0
01/01/2016|10:07:16|1281.5|0
01/01/2016|10:07:17|1263.25|0
01/01/2016|10:07:18|1293.5|0
01/01/2016|10:07:19|1330.0|0
01/01/2016|10:07:20|1354.25|0
01/01/2016|10:07:21|1367.25|0
01/01/2016|10:07:22|1306.75|0
01/01/2016|10:07:23|1312.0|0
01/01/2016|10:07:24|1365.0|0
01/01/2016|10:07:25|1396.0|0
01/01/2016|10:07:26|1426.25|0
01/01/2016|10:07:27|1415.0|0
01/01/2016|10:07:28|1426.5|0
01/01/2016|10:07:29|1456.0|0
01/01/2016|10:07:30|1368.5|0
01/01/2016|10:07:31|1328.75|0
01/01/2016|10:07:32|1382.0|0
01/01/2016|10:07:33|1451.5|0
01/01/2016|10:07:34|1453.75|0
01/01/2016|10:07:35|1462.75|0
01/01/2016|10:07:36|1468.5|0
01/01/2016|10:07:37|1452.25|0
01/01/2016|10:07:38|1462.25|0
01/01/2016|10:07:39|1462.0|0
01/01/2016|10:07:40|1416.5|0
01/01/2016|10:07:41|1418.25|0
01/01/2016|10:07:42|1435.75|0
01/01/2016|10:07:43|1455.5|0
01/01/2016|10:07:44|1448.0|0
01/01/2016|10:07:45|1459.25|0
01/01/2016|10:07:46|1471.75|0
01/01/2016|10:07:47|1475.25|0
01/01/2016|10:07:48|1492.0|0
01/01/2016|10:07:49|1472.25|0
01/01/2016|10:07:50|1500.75|0
01/01/2016|10:07:51|1494.25|0
01/01/2016|10:07:52|1506.0|0
01/01/2016|10:07:53|1517.5|0
01/01/2016|10:07:54|1507.25|0
01/01/2016|10:07:55|1470.5|0
01/01/2016|10:07:56|1448.5|0
01/01/2016|10:07:57|1358.25|0
01/01/2016|10:07:58|1243.75|0
01/01/2016|10:07:59|1176.0|0
01/01/2016|10:08:00|1169.0|0
01/01/2016|10:08:01|1167.25|0
01/01/2016|10:08:02|1169.0|0
01/01/2016|10:08:03|1167.0|0
01/01/2016|10:08:04|1152.25|0
01/01/2016|10:08:05|1152.5|0
01/01/2016|10:08:06|1147.0|0
01/01/2016|10:08:07|1145.5|0
01/01/2016|10:08:08|1151.0|0
01/01/2016|10:08:09|1150.5|0
01/01/2016|10:08:10|1149.0|0
01/01/2016|10:08:11|1138.25|0
01/01/2016|10:08:12|1130.25|0
01/01/2016|10:08:13|1128.0|0
01/01/2016|10:08:14|1127.75|0
01/01/2016|10:08:15|1132.0|0
01/01/2016|10:08:17|1122.75|0
01/01/2016|10:08:18|1172.0|0
01/01/2016|10:08:19|1210.5|0
01/01/2016|10:08:20|1207.25|0
01/01/2016|10:08:21|1123.75|0
01/01/2016|10:08:22|1108.5|0
01/01/2016|10:08:23|1109.5|0
01/01/2016|10:08:24|1103.75|0
01/01/2016|10:08:25|0.0|0
01/01/2016|10:08:26|0.0|0
01/01/2016|10:08:27|0.0|1
01/01/2016|10:08:28|1020.0|0
01/01/2016|10:08:29|1009.25|0
01/01/2016|10:08:30|1019.0|0
01/01/2016|10:08:31|0.0|1
01/01/2016|10:08:32|1019.0|0
01/01/2016|10:08:33|1020.25|0
01/01/2016|10:08:34|0.0|0
01/01/2016|10:08:35|0.0|2
01/01/2016|10:08:36|1008.0|2
01/01/2016|10:08:37|1006.25|1
01/01/2016|10:08:38|1022.25|1
01/01/2016|10:08:39|0.0|1
01/01/2016|10:08:40|0.0|1
01/01/2016|10:08:41|0.0|0
01/01/2016|10:08:42|0.0|0
01/01/2016|10:08:43|0.0|0
01/01/2016|10:08:44|1099.25|0
01/01/2016|10:08:45|1098.5|0
01/01/2016|10:08:46|1102.0|0
01/01/2016|10:08:47|1101.75|0
01/01/2016|10:08:48|1098.75|0
01/01/2016|10:08:49|1097.0|0
