DATE|TIME|RPM|VEL
31/12/2015|16:43:38|863.75|0
31/12/2015|16:43:39|869.0|0
31/12/2015|16:43:40|857.5|0
31/12/2015|16:43:41|873.0|0
31/12/2015|16:43:42|863.0|0
31/12/2015|16:43:43|868.25|0
31/12/2015|16:43:44|865.75|0
31/12/2015|16:43:45|856.75|0
31/12/2015|16:43:46|856.5|0
31/12/2015|16:43:47|883.0|0
31/12/2015|16:43:48|884.75|0
31/12/2015|16:43:49|879.25|0
31/12/2015|16:43:50|880.75|0
31/12/2015|16:43:51|889.0|0
31/12/2015|16:43:52|898.0|0
31/12/2015|16:43:53|883.25|0
31/12/2015|16:43:54|896.25|0
31/12/2015|16:43:55|888.75|0
31/12/2015|16:43:56|883.0|0
31/12/2015|16:43:57|882.5|0
31/12/2015|16:43:58|882.5|0
31/12/2015|16:43:59|887.0|0
31/12/2015|16:44:00|875.0|0
31/12/2015|16:44:01|882.5|0
31/12/2015|16:44:02|882.0|0
31/12/2015|16:44:03|882.0|0
31/12/2015|16:44:04|893.25|0
31/12/2015|16:44:05|912.25|0
31/12/2015|16:44:06|885.5|0
31/12/2015|16:44:07|909.25|0
31/12/2015|16:44:08|904.75|0
31/12/2015|16:44:09|907.75|0
31/12/2015|16:44:10|906.5|0
31/12/2015|16:44:11|907.25|0
31/12/2015|16:44:12|892.75|0
31/12/2015|16:44:13|901.0|0
31/12/2015|16:44:14|886.0|0
31/12/2015|16:44:15|898.25|0
31/12/2015|16:44:16|883.75|0
31/12/2015|16:44:17|897.5|0
31/12/2015|16:44:18|891.75|0
31/12/2015|16:44:19|885.0|0
31/12/2015|16:44:20|868.75|0
31/12/2015|16:44:21|877.25|0
31/12/2015|16:44:22|876.5|0
31/12/2015|16:44:23|873.5|0
31/12/2015|16:44:24|885.25|0
31/12/2015|16:44:25|871.75|0
31/12/2015|16:44:26|866.0|0
31/12/2015|16:44:27|850.0|0
31/12/2015|16:44:28|872.75|0
31/12/2015|16:44:29|863.75|0
31/12/2015|16:44:30|880.0|0
31/12/2015|16:44:31|868.0|0
31/12/2015|16:44:32|873.5|0
31/12/2015|16:44:33|867.25|0
31/12/2015|16:44:34|858.5|0
31/12/2015|16:44:35|869.5|0
31/12/2015|16:44:36|868.0|0
31/12/2015|16:44:37|875.0|0
31/12/2015|16:44:38|887.25|0
31/12/2015|16:44:39|861.75|0
31/12/2015|16:44:40|854.5|0
31/12/2015|16:44:41|875.25|0
31/12/2015|16:44:42|886.75|0
31/12/2015|16:44:43|884.0|0
31/12/2015|16:44:44|884.25|0
31/12/2015|16:44:45|879.0|0
31/12/2015|16:44:46|870.75|0
31/12/2015|16:44:47|860.75|0
31/12/2015|16:44:48|859.75|0
31/12/2015|16:44:49|867.5|0
31/12/2015|16:44:50|848.25|0
31/12/2015|16:44:51|855.75|0
31/12/2015|16:44:52|880.0|0
31/12/2015|16:44:53|859.0|0
31/12/2015|16:44:54|892.25|0
31/12/2015|16:44:55|887.25|0
31/12/2015|16:44:56|879.0|0
31/12/2015|16:44:57|876.25|0
31/12/2015|16:44:58|884.0|0
31/12/2015|16:44:59|879.25|0
31/12/2015|16:45:00|893.0|0
31/12/2015|16:45:01|893.5|0
31/12/2015|16:45:02|872.75|0
31/12/2015|16:45:03|877.25|0
